name,category,url
3D Segmenting,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Segment%203D%20Model/index.html
Add Draft to Model,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Add%20Draft%20to%20Model/index.html
Baking Components,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/baking-components/index.html
Clearing or Splitting Components,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/clearing-or-splitting-components/index.html
Create Component from Bitmap,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/create-component-from-bitmap/index.html
Create Component from Visible Model,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/create-component-from-visible-model/index.html
Create Cross Section Vector,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/CrossSectionTool/index.html
Create Shape,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Create%20Shape/index.html
Create Shape - Angled,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Create%20Angled%20Shape/index.html
Create Shape - Custom,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Create%20Custom%20Shape/index.html
Create Shape - Plane,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Create%20Flat%20Plane/index.html
Create Shape - Round,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Create%20Round%20Shape/index.html
Create Shape - Smooth,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Create%20Smooth%20Shape/index.html
Create Texture Area,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Create%20Texture%20Area/index.html
Create Vector Boundary From Selected Components,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/create-vector-boundary-from-selected-components/index.html
Create Zero Plane,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/create-zero-plane/index.html
Emboss Component,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Emboss%20Component/index.html
Export Model as an STL File,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Export%20Model%20as%20an%20STL%20file/index.html
Extrude and Weave,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Extrude%20and%20Weave/index.html
Import 3D Model into Single or Two Sided Job,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Orientate%203D%20Model%20Flat/index.html
Import a Component or 3D Model,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/import-a-component-or-3d-model/index.html
Importing a 3D Model into Rotary job,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Orientate%203D%20Model%20Rotary/index.html
Level Clipping,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/level-clipping/index.html
Offset Model,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Offset%20Model/index.html
Positioning an Imported Model,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Position%203D%20Model/index.html
Replace Below,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Replace%20Below/index.html
Scale Model Height,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Scale%20Model%20Height/index.html
Sculpting,3D Design Tools,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Sculpting/index.html
