video_id,title,url,published_at,duration,playlist_or_source,include_wave,skip_reason,caption_status
h7FccWQT2TA,How to use the VCarve toolpath in Vectric software | 2.5D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=h7FccWQT2TA,,1598.0,25DTOOLPATH-V12,wave1,,auto
HNyIDbF7kww,How to use the drilling toolpath in Vectric software | 2D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=HNyIDbF7kww,,430.0,2DTOOLPATH-V12,wave1,,auto
3I5rZg8hE-s,How to use the pocket toolpath in Vectric software | 2D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=3I5rZg8hE-s,,1059.0,2DTOOLPATH-V12,wave1,,auto
VAvj8KqOuE8,How to use the profile toolpath in Vectric software | 2D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=VAvj8KqOuE8,,1095.0,2DTOOLPATH-V12,wave1,,auto
MOiVl-R3xhM,How to use the quick engraving toolpath in Vectric software | 2D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=MOiVl-R3xhM,,901.0,2DTOOLPATH-V12,wave1,,auto
aQyh6aGp3ys,"How to use level effects, clipping and mirror mode in Vectric software | 3D Assembly | V12 Tutorials",https://www.youtube.com/watch?v=aQyh6aGp3ys,,1063.0,3DASSEMBLY-V12,wave1,,auto
a_HwPGiE0DI,How to use the component tree in Vectric software | 3D Assembly | V12 Tutorials,https://www.youtube.com/watch?v=a_HwPGiE0DI,,1151.0,3DASSEMBLY-V12,wave1,,auto
7wxRKF7Lc8A,Arc Fitting Toolpaths,https://www.youtube.com/watch?v=7wxRKF7Lc8A,,412.0,CHANNEL,wave1,,auto
tmaTxrZZv6Y,"How to Set up your Machine, Materials and Tool Database",https://www.youtube.com/watch?v=tmaTxrZZv6Y,,494.0,CHANNEL,wave1,,auto
ovxypfxp38g,How to create and save your toolpaths,https://www.youtube.com/watch?v=ovxypfxp38g,,1040.0,CHANNEL,wave1,,auto
YLK9E_c5S3k,How to get your project ready for toolpathing,https://www.youtube.com/watch?v=YLK9E_c5S3k,,687.0,CHANNEL,wave1,,auto
NF9oaCjXmAo,How to use the 3D Finishing Toolpath | 3D Toolpaths | V12.5 Tutorials,https://www.youtube.com/watch?v=NF9oaCjXmAo,,685.0,CHANNEL,wave1,,auto
5wOzzsZ870k,How to use the 3D Roughing Toolpath | 3D Toolpaths | V12.5 Toolpaths,https://www.youtube.com/watch?v=5wOzzsZ870k,,443.0,CHANNEL,wave1,,auto
dfzBnuFNNnI,Introduction to Aspire's Interface,https://www.youtube.com/watch?v=dfzBnuFNNnI,,769.0,CHANNEL,wave1,,auto
YMQIBz6_Yxk,VCarve Pro - Getting Started with VCarving the Bulls Head Sign,https://www.youtube.com/watch?v=YMQIBz6_Yxk,,637.0,CHANNEL,wave1,,auto
